FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Aaron Gordon,Orl,F,24.49,58,33,68.7,20.6,10.3,203,0.675,500,0.492,226,0.301,0.479,0.511,14.4,7.6,12.4,3.7,17.2,0.86,0.62,1.62,9,106.4,105.6
Aaron Holiday,Ind,G,23.45,58,23.6,49.1,19.3,12.3,72,0.861,293,0.416,203,0.394,0.488,0.517,9.4,2.3,5.3,3.3,19.5,0.81,0.22,1.28,7,104,106
Abdel Nader,Okc,F,26.46,48,15.8,32.8,16.5,12.7,62,0.774,115,0.53,105,0.371,0.543,0.58,6,1.9,6.6,0.7,6.6,0.42,0.42,0.75,5.1,107.2,104.3
Adam Mokoka,Chi,G,21.65,11,10.2,21.2,12.1,6.3,4,0.5,13,0.462,15,0.4,0.536,0.538,2.9,0.9,4.9,0.4,5,0.36,0,0.18,4,114.1,101.4
Admiral Schofield,Was,G-F,22.95,27,10.8,22.6,12.3,8.1,13,0.692,28,0.571,46,0.304,0.5,0.521,3.1,1.3,6.4,0.5,6.2,0.3,0.11,0.26,4.7,105.8,106.3
Al Horford,Phi,C-F,33.77,60,30.8,64.2,17.6,8.7,73,0.753,390,0.513,264,0.337,0.51,0.526,12,6.9,12.3,4.1,19.2,0.9,0.92,1.08,9.1,114,104.3
Al-Farouq Aminu,Orl,F,29.47,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.4,1.2,7.4,1,0.44,0.94,5.6,88,103.3
Alec Burks,Gol,G,28.64,48,29,60.3,23.8,9.8,224,0.897,377,0.424,224,0.375,0.476,0.552,16.1,4.7,8.8,3.1,17.4,1.02,0.33,1.58,8.5,110.3,109.2
Alec Burks,Phi,G,28.64,11,20.1,42,23.6,7.4,27,0.889,51,0.451,49,0.327,0.47,0.527,10.7,3.3,9,1.8,13.5,0.73,0,0.82,7.9,109.3,106
Alen Smailagic,Gol,F,19.56,14,9.9,20.7,18.3,18.5,19,0.842,27,0.63,13,0.231,0.538,0.61,4.2,1.9,10.5,0.9,14.3,0.21,0.29,0.79,7.8,111.9,107.7
Alex Caruso,Lal,G,26.03,58,17.8,37.1,13.9,13.6,76,0.763,153,0.471,107,0.355,0.496,0.538,5.4,1.9,5.9,1.8,12.7,1.03,0.29,0.79,5.9,108.2,101.2
Alex Len,Atl,C,26.74,40,18.6,38.8,18.8,11.9,81,0.63,205,0.624,56,0.25,0.571,0.588,8.7,5.8,16.7,1.1,8.7,0.5,0.83,1,8.2,114.1,104
Alex Len,Sac,C,26.74,9,16.7,34.7,16.7,19.2,10,0.7,42,0.619,0,0,0.619,0.636,6.6,7.1,24,0.6,5.1,0.22,1.44,1.22,7.3,118.6,97.9
Alfonzo McKinnie,Cle,F,27.48,40,14.8,30.9,15.2,12.3,31,0.71,106,0.557,65,0.215,0.468,0.493,4.6,2.8,10.6,0.4,3.3,0.58,0.2,0.65,4.7,98.1,104.8
Alize Johnson,Ind,F,23.89,13,4.1,8.6,16.9,14.5,6,0.667,15,0.467,0,0,0.467,0.51,1.4,1.5,19.5,0.2,5,0,0,0.23,7.3,106.4,99.6
Allen Crabbe,Atl,G-F,27.92,28,18.6,38.8,12.8,7.5,12,0.75,50,0.44,93,0.323,0.469,0.482,5.1,2.3,6.6,1,7.3,0.54,0.14,0.43,4.9,99.8,113.2
Allen Crabbe,Min,G-F,27.92,9,14.6,30.3,12.5,12.5,2,0.5,8,0.625,26,0.231,0.412,0.416,3.2,1.3,4.8,0.6,5.1,0,0,0.56,3.7,80.7,111.2
Allonzo Trier,Nyk,G,24.15,24,12.1,25.2,21.6,15.5,43,0.791,53,0.604,53,0.358,0.571,0.62,6.5,1.3,5.5,1.2,14.8,0.13,0.17,0.96,7.2,113.4,108.9
Amile Jefferson,Orl,F,26.85,18,4.1,8.6,13.5,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.6,0.2,7.2,0.06,0.17,0.17,5.8,93.5,102.8
Amir Coffey,Lac,G-F,22.74,13,7.5,15.7,15.9,8,3,0.333,26,0.462,7,0.143,0.409,0.408,2.2,1.1,7.4,0.7,12.6,0.08,0.08,0.23,6.4,93.6,100.3
Andre Drummond,Det,C,26.59,49,33.7,70.3,25.5,18,255,0.584,658,0.546,21,0.048,0.531,0.55,17.8,15.8,26.6,2.8,14,1.98,1.67,3.55,11,104,97.5
Andre Drummond,Cle,C,26.59,8,28.1,58.5,28.8,19.2,39,0.513,91,0.593,14,0.286,0.571,0.573,17.5,11.1,22,1.8,10.9,1.5,1.38,3.63,10,99,100.8
Andre Iguodala,Mia,G-F,36.12,14,18.5,38.6,12.3,24.8,8,0.25,27,0.593,24,0.375,0.578,0.559,4.4,3.8,11.5,2,15.1,0.57,1.14,1.29,7,101.2,100.4
Andrew Wiggins,Min,F,25.05,42,34.7,72.2,27.9,10.7,207,0.72,515,0.505,275,0.331,0.502,0.535,22.4,5.2,7.9,3.7,18.1,0.69,0.86,2.52,8.7,104.2,110.6
Andrew Wiggins,Gol,F,25.05,12,33.6,70,25.4,10.4,61,0.672,129,0.512,59,0.339,0.511,0.542,19.4,4.6,7.4,3.6,18.2,1.33,1.33,2.08,8.2,105.8,111.4
Anfernee Simons,Por,G,20.76,65,21.5,44.9,19,9.7,92,0.826,307,0.446,219,0.338,0.471,0.505,8.8,2.3,5.5,1.5,9.4,0.4,0.15,0.94,5.8,101.8,110.6
Ante Zizic,Cle,C,23.18,22,10,20.9,17.5,11.1,19,0.737,72,0.569,0,0,0.569,0.597,4.4,3,16.4,0.3,4.2,0.32,0.23,0.45,6.3,114.6,102.9
Anthony Davis,Lal,F-C,27,55,34.3,71.6,29.7,10.1,457,0.845,800,0.554,194,0.335,0.544,0.614,26.7,9.4,14.9,3.1,14.6,1.49,2.44,2.45,10.7,120.8,99.9
Anthony Tolliver,Por,F,34.78,33,16.8,35,11.2,14.3,19,0.684,28,0.464,89,0.337,0.496,0.515,3.9,3.3,10.3,0.9,6.6,0.24,0.27,0.64,5.4,105.5,108.4
Anthony Tolliver,Sac,F,34.78,9,9.1,18.9,11.7,18.3,2,0.5,2,0.5,15,0.133,0.235,0.252,1,1.2,7.6,0.3,4.6,0.44,0.11,0.44,3.1,56.9,107.2
Anthony Tolliver,Mem,F,34.78,5,19.3,40.1,12,18,4,1,4,0.25,17,0.412,0.548,0.593,5.4,2.4,6.5,0.2,1.3,0.6,0.2,1,2.8,97.8,111.6
Antonius Cleveland,Dal,G,26.11,6,3.7,7.8,15,12.7,2,0.5,5,0.4,1,0,0.333,0.363,0.8,0.5,7,0,0,0.17,0.17,0.17,0,,
Anzejs Pasecniks,Was,C,24.23,23,17.6,36.7,15.6,14.5,54,0.593,104,0.538,2,0,0.528,0.555,6.3,4.3,13.4,0.7,5.8,0.35,0.52,0.96,6.1,109.4,103.1
Aron Baynes,Pho,C-F,33.26,42,22.2,46.3,21.2,10.8,75,0.747,214,0.579,168,0.351,0.556,0.58,11.5,5.7,14.3,1.6,11,0.21,0.55,1.19,8.5,112.5,99.4
Austin Rivers,Hou,G,27.61,60,23.4,48.7,14.9,6.9,90,0.667,200,0.495,232,0.358,0.517,0.538,8.5,2.4,5.3,1.6,9.5,0.7,0.18,0.58,5.5,112.1,107.5
Avery Bradley,Lal,G,29.29,49,24.2,50.4,15.7,10.7,24,0.833,210,0.51,173,0.364,0.526,0.537,8.6,2.3,5.3,1.3,7.1,0.88,0.1,0.96,4.9,103.3,101.8
Bam Adebayo,Mia,C-F,22.65,65,34.4,71.6,20.8,17.4,342,0.69,707,0.576,13,0.077,0.567,0.605,16.2,10.5,17.2,5.1,23.6,1.2,1.31,2.83,11.1,117.3,102.2
Ben McLemore,Hou,G,27.08,63,22.8,47.5,15.6,8.5,62,0.758,80,0.688,390,0.395,0.609,0.622,9.8,2.2,5,0.9,5.3,0.62,0.19,0.73,4.7,118.1,106.6
Ben Simmons,Phi,F,23.64,54,35.8,74.5,20.9,20.5,284,0.627,612,0.587,6,0.333,0.586,0.607,16.7,7.9,12.1,8.2,34.8,2.15,0.59,3.56,11.5,115.8,100.3
Bismack Biyombo,Cha,C,27.54,53,19.4,40.5,16.8,12.2,151,0.603,278,0.543,0,0,0.543,0.57,7.4,5.8,16.3,0.9,7.8,0.19,0.92,0.91,7,115.1,103.3
BJ Johnson,Orl,F,24.22,8,5.8,12,20.5,13.7,2,1,12,0.333,6,0.167,0.306,0.344,1.6,0.8,7,0.3,6.1,0.25,0,0.38,5,69.1,112.9
