FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Aaron Gordon,Orl,F,23.74,5,32.8,68.3,22.5,15.6,19,0.526,42,0.5,20,0.4,0.532,0.54,15.2,7.2,12,3.6,22.3,1.2,0.2,2.6,8.9,103.8,100.5
Aaron Holiday,Ind,G,22.7,3,4.5,9.4,20.4,16.7,0,0,3,0.333,2,0.5,0.5,0.5,1.7,0,0,0,0,0,0,0.33,0,79.4,92.5
Abdel Nader,Okc,F,25.72,3,1.6,3.3,17.8,0,0,0,2,0.5,0,0,0.5,0.5,0.7,0,0,0,0,0,0.33,0,0,,
Al Horford,Bos,F-C,33.03,9,34.5,71.8,19.3,13.9,18,0.833,66,0.424,44,0.409,0.5,0.53,13.9,9,13.3,4.4,21.7,0.44,0.78,2.11,9.5,107.1,103.5
Al-Farouq Aminu,Por,F,28.73,16,25,52,15.3,11.4,36,0.75,58,0.397,51,0.294,0.417,0.473,7.4,6.3,13.3,1.3,7.5,0.56,0.63,1,6.3,104.2,104.3
Alfonzo McKinnie,Gol,F,26.74,22,10.7,22.3,12.8,8.6,10,0.4,27,0.593,32,0.313,0.525,0.521,3,2.3,12.2,0.2,2.3,0.09,0.05,0.27,4.2,107.7,101.2
Amir Johnson,Phi,C-F,32.12,4,4.9,10.2,10.8,20,0,0,4,1,0,0,1,1,2,1.3,13.8,0.5,16.5,0.25,0,0.25,8.9,164.6,96.8
Andre Drummond,Det,C,25.84,4,31.9,66.4,24.4,14.8,21,0.429,53,0.453,1,0,0.444,0.451,14.3,13,20.5,2.3,11.9,1.5,1.25,2.75,9.4,95,94.5
Andre Iguodala,Gol,G-F,35.38,21,30,62.4,14,10.3,37,0.378,86,0.628,80,0.35,0.578,0.565,9.8,4.3,8.3,4,18.4,1.14,1.1,1,7.4,119.9,108.1
Andrew Bogut,Gol,C,34.54,19,9.4,19.6,12,20.3,5,0.8,37,0.649,0,0,0.649,0.663,2.7,3.9,23.9,1.1,16.5,0.26,0.32,0.53,9.6,131.8,87
Anfernee Simons,Por,G,20.02,5,2.4,5,33.3,0,5,0.8,5,0,2,0,0,0.217,0.8,0,0,0,0,0.2,0,0,0,,
Aron Baynes,Bos,F-C,32.51,9,12.8,26.7,7.5,25.2,2,0.5,8,0.75,6,0.333,0.643,0.638,2.1,2.8,11,0.3,3.9,0.33,0.33,0.56,3.8,107.9,92.5
Austin Rivers,Hou,G,26.87,10,21.5,44.9,14.8,11,6,0.667,27,0.407,35,0.457,0.565,0.572,7.4,2.1,5.5,1,7.2,0.5,0.1,0.8,4.6,109,100.8
Ben Simmons,Phi,G-F,22.9,12,35.1,73,16.6,19.3,40,0.575,116,0.621,0,0,0.621,0.625,13.9,7.1,10.9,6,26.3,1.25,1,2.67,9.6,118.1,101.3
Blake Griffin,Det,F,30.25,2,29.1,60.5,34.7,12.5,7,1,26,0.462,13,0.462,0.538,0.582,24.5,6,10.4,6,43.8,1,0,3,13.2,116.5,96
Boban Marjanovic,Phi,C,30.83,10,10.5,21.8,25.2,22.5,19,0.842,37,0.649,3,0,0.6,0.662,6.4,3.6,18.6,1.1,17.8,0.2,0.3,1.4,11.2,114.1,93.7
Bojan Bogdanovic,Ind,F,30.16,4,36.9,76.9,23.8,7.8,17,0.882,41,0.439,22,0.318,0.452,0.511,18,5.8,8.5,2.8,14.1,2,0,1.5,7.2,104.4,104.5
Brad Wanamaker,Bos,G,29.89,4,4.3,9,27.4,18.6,4,0.75,6,0.333,1,1,0.5,0.571,2.5,0.3,3,0.8,30.7,0.25,0,0.5,7.8,104.9,113
Brook Lopez,Mil,C,31.2,15,29.2,60.8,15.3,6.4,29,0.828,59,0.661,75,0.293,0.537,0.572,11.2,5.5,9.4,1.4,7.1,0.4,1.87,0.67,6.1,116.1,98.1
Bruce Brown,Det,G,22.83,4,14.2,29.5,12.5,11.8,2,1,9,0.444,5,0.2,0.393,0.437,3.3,2,7.1,0.5,5.1,0.5,0.25,0.5,4.2,89.4,97.8
Bryn Forbes,San,G,25.89,7,30.3,63.2,13.7,4.8,9,0.667,25,0.48,31,0.484,0.616,0.625,10.7,3.6,6.3,1,4.7,0.14,0.14,0.43,4.5,122,109.3
Caris LeVert,Bro,G,24.8,5,28.9,60.1,26.9,10.4,29,0.724,47,0.511,26,0.462,0.575,0.612,21,4.6,8.2,3,18.9,1,0.4,2,9.2,118.3,107.7
Chris Boucher,Tor,F,26.42,2,2.1,4.3,60,0,1,0,2,0.5,3,0.333,0.5,0.46,2.5,0.5,13.5,0,0,0,0.5,0,0,,
Chris Paul,Hou,G,34.11,11,36.1,75.3,22.6,18.1,45,0.844,85,0.576,63,0.27,0.503,0.557,17,6.4,9.9,5.5,25.1,2.18,0.64,3.36,9.3,108.8,102.8
CJ McCollum,Por,G,27.74,16,39.7,82.7,27.6,7.4,56,0.732,233,0.464,117,0.393,0.506,0.527,24.7,5,6.7,3.7,16.8,0.81,0.63,1.88,7.8,108.3,110
Clint Capela,Hou,C,25.07,11,30.1,62.6,15.1,14.1,35,0.429,82,0.561,0,0,0.561,0.549,9.7,10.3,19.3,1.5,7.7,0.27,1.09,1.45,7.1,115.2,104.6
Cory Joseph,Ind,G,27.82,4,21.3,44.3,13.4,0,2,1,15,0.533,9,0.444,0.583,0.603,7.5,1.8,4.5,1,8.5,1,0,0,4.5,127.9,103
D.J. Augustin,Orl,G,31.59,5,28.2,58.7,17.3,12.7,16,0.875,20,0.5,21,0.476,0.61,0.666,12.8,1.6,3.1,3.8,25.5,0.4,0.2,1.4,6.1,128,110
D.J. Wilson,Mil,F,23.32,8,5.3,11.1,24,29.3,2,1,11,0.636,5,0.2,0.531,0.563,2.4,1.3,11.7,0.5,14.9,0,0.13,0.88,8.8,84.9,91.6
D'Angelo Russell,Bro,G,23.3,5,29.6,61.6,33.4,11.5,13,0.846,65,0.385,37,0.324,0.422,0.45,19.4,3.6,6.3,3.6,22.1,1.4,0.2,2.8,8.5,89.9,104.6
Damian Jones,Gol,C,23.96,4,2,4.2,15.4,34.7,2,0.5,1,1,0,0,1,0.798,0.8,0.5,14.2,0,0,0,0,0.25,0,,
Damian Lillard,Por,G,28.92,16,40.6,84.6,29.4,13.6,114,0.833,172,0.459,158,0.373,0.508,0.566,26.9,4.8,6.2,6.6,27.9,1.69,0.31,3.75,9.3,111.7,107.9
Daniel Theis,Bos,F,27.19,7,6,12.5,16.6,6.3,2,1,12,0.417,2,0,0.357,0.403,1.7,1.4,12.2,0,0,0.14,0.14,0.14,0,92.7,101.9
Danilo Gallinari,Lac,F,30.85,6,33.6,69.9,27.8,8.8,33,0.848,67,0.388,43,0.302,0.414,0.478,19.8,6.2,10.3,2.7,12.5,1.33,0.17,2,8.2,99.1,107.7
Danny Green,Tor,G-F,31.98,24,28.5,59.4,12.6,13.6,23,0.913,36,0.389,119,0.328,0.468,0.503,6.9,3.6,7,1.1,5.4,1.29,0.46,1.08,4.2,97.4,101.6
Dante Cunningham,San,F,32.15,5,2.6,5.4,10.8,0,0,0,1,0,2,1,1,1,1.2,1.2,25,0,0,0,0,0,0,,
Danuel House Jr.,Hou,F-G,26.02,7,20.1,41.9,13.9,9,8,0.5,6,0.5,31,0.258,0.405,0.42,4.9,3.1,8.8,0.1,1,0.43,0.29,0.57,2.3,83.8,106.4
Darren Collison,Ind,G,31.81,4,29.2,60.8,22.7,17.3,6,1,34,0.441,11,0.364,0.467,0.504,12,3,5.6,4,25.6,0.5,0,2.5,7.2,97.8,103.6
Davis Bertans,San,F,26.58,5,15.8,32.8,10.7,5.5,5,0.6,4,0.5,11,0.273,0.433,0.465,3.2,1.6,5.5,1,8.4,0,0.2,0.2,4.4,102.5,103.2
DeMar DeRozan,San,G,29.85,7,35.8,74.6,27.8,8,44,0.864,118,0.492,1,0,0.487,0.557,22,6.7,10.1,4.6,21.6,1.14,0.14,1.71,9.8,115.8,106.9
DeMarcus Cousins,Gol,C,28.84,8,16.7,34.7,27,22.9,25,0.64,41,0.439,12,0.25,0.425,0.477,7.6,4.9,16.9,2.4,20.7,0.63,0.75,2.38,10.7,89.9,91.9
DeMarre Carroll,Bro,F,32.88,5,23.9,49.8,15.1,6.7,8,1,14,0.143,24,0.292,0.329,0.397,6.6,4,8.6,0.4,2.3,0.8,0,0.6,3.7,90.2,106.6
Dennis Schroder,Okc,G,25.75,5,30.1,62.8,19.5,8.7,18,0.722,35,0.543,20,0.3,0.509,0.548,13.8,3.2,5.8,3.4,18.1,0.8,0,1.2,7.1,114.7,105.5
Deonte Burton,Okc,G,25.37,3,1.5,3.1,47.5,0,0,0,3,0.333,2,0,0.2,0.2,0.7,0.7,24.1,0,0,0,0,0,0,,
Derrick Favors,Uta,F-C,27.92,5,20.6,43,20.4,10.1,19,0.684,33,0.697,3,0,0.639,0.665,11.8,7.4,18.8,0.8,7.8,0.8,1.8,1,8,130.6,94.9
Derrick White,San,G,24.95,7,27.2,56.8,24.6,14.8,26,0.731,58,0.621,17,0.294,0.58,0.613,15.1,3,5.9,3,18.2,0.71,0.71,2.14,7.6,110.8,105.5
Domantas Sabonis,Ind,F,23.11,4,24,50.1,19.2,12.5,14,0.643,25,0.44,4,0.25,0.431,0.484,8.5,7.3,16.5,4,29.1,0.75,0.25,1.25,10.5,109.6,94.4
Donatas Motiejunas,San,F-C,28.73,5,3.7,7.7,27.2,0,2,0.5,9,0.667,1,0,0.6,0.597,2.6,1.4,20.4,0.4,21.7,0,0,0,12.3,,
Donovan Mitchell,Uta,G,22.77,5,38.6,80.5,32.5,14.2,33,0.727,69,0.362,43,0.256,0.371,0.423,21.4,5,6.8,3.2,15.5,1.6,0.2,4.2,7.2,83.1,101.8
Doug McDermott,Ind,F,27.44,3,9.7,20.3,18.5,0,4,0.5,3,0.667,7,0,0.2,0.255,2,1.7,9.3,1.3,21.8,0,0.33,0,6.8,86.5,107.3
Draymond Green,Gol,F,29.28,22,38.7,80.5,17.5,24.3,71,0.718,171,0.591,57,0.228,0.529,0.563,13.3,10.1,15,8.5,30.8,1.45,1.5,3.77,10.8,109.9,101.2
Dzanan Musa,Bro,G-F,20.1,2,7.3,15.2,16.7,50,0,0,2,1,1,0,0.667,0.667,2,0,0,0,0,1,0,1.5,0,55.7,82.7
Ed Davis,Bro,C,30.03,3,13.6,28.3,10.8,0,2,1,10,0.7,0,0,0.7,0.735,5.3,6.3,23.9,0.7,7.8,0,0.33,0,8.4,161.7,85.5
Edmond Sumner,Ind,G,23.45,1,1.6,3.3,0,,0,0,0,0,0,0,,,0,2,68.2,0,0,0,0,0,0,,
Ekpe Udoh,Uta,C-F,32.07,2,3.1,6.4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Enes Kanter,Por,C,27.07,16,28.8,60,17.9,13.7,41,0.756,142,0.521,4,0.25,0.517,0.555,11.4,9.7,17.8,1.2,6.5,0.69,0.56,1.63,7.1,112.2,103.8
Eric Bledsoe,Mil,G,29.51,15,28.2,58.8,24.4,13.7,51,0.706,113,0.522,72,0.236,0.457,0.494,13.7,3.7,6.6,4.3,23.7,1.07,0.4,2.2,8.5,101.7,102.6
Eric Gordon,Hou,G,30.47,11,37.2,77.6,20.3,14.3,28,0.857,55,0.527,95,0.4,0.573,0.604,17.8,2.5,3.7,1.3,5.7,0.64,1,2.45,4.2,107,112
Eric Moreland,Tor,F-C,27.47,8,3.5,7.3,3.2,0,0,0,2,0.5,0,0,0.5,0.5,0.3,1.6,25.5,0.4,14.3,0,0,0,6.6,,
Ersan Ilyasova,Mil,F,32.08,15,18.2,37.8,15.4,6.1,25,0.8,41,0.561,40,0.3,0.506,0.554,6.8,4.7,12.9,1.4,11.2,0.67,0.4,0.4,7.8,122.5,91.7
Evan Fournier,Orl,G-F,26.62,5,35,72.9,21.4,14.2,8,0.75,35,0.457,34,0.235,0.406,0.427,12.4,3.2,5,2,10.7,1.4,0,2.4,4.9,81.6,104.3
Evan Turner,Por,G-F,30.63,16,15.3,31.9,11.6,19.8,15,0.8,45,0.311,1,1,0.337,0.409,2.7,4.6,15.8,2.2,19.4,0.19,0.19,0.81,7.9,99.5,102.6
Fred VanVleet,Tor,G,25.3,24,24.7,51.4,15.3,10.5,31,0.774,68,0.397,98,0.388,0.506,0.534,8,1.8,3.9,2.6,15.7,0.75,0.25,0.88,5.4,110,104.4
Furkan Korkmaz,Phi,G-F,21.89,4,8.9,18.5,25.2,4.7,5,0.8,10,0.3,8,0.375,0.417,0.47,4.8,1.5,9.1,1.3,21.5,0,0.25,0.25,9.5,105.6,99.4
Garrett Temple,Lac,G-F,33.1,6,10.5,21.8,11.4,11.5,10,0.7,4,0.5,7,0.143,0.318,0.455,2.3,1.2,6.2,0.3,4.1,0.5,0.17,0.33,3.6,94.5,102.5
Gary Clark,Hou,F,24.58,2,1.9,3.9,0,,0,0,0,0,0,0,,,0,0.5,15.2,0,0,0,0,0,0,,
Gary Harris,Den,G,24.75,14,37,77,16,5.9,38,0.868,101,0.525,57,0.351,0.525,0.569,14.2,4.1,5.9,2.3,9.3,0.86,0.57,0.79,5.5,118.9,107
George Hill,Mil,G,33.11,15,26.3,54.8,15,4.3,33,0.818,70,0.614,48,0.417,0.619,0.653,11.5,3.5,6.7,2.8,16.2,0.87,0.27,0.4,7.3,138.7,100.6
Georges Niang,Uta,F,25.99,5,11,22.9,18.6,8.3,0,0,9,0.556,13,0.308,0.5,0.5,4.4,2.8,13.4,1,16.4,0.2,0.2,0.4,8.4,100.4,98
Gerald Green,Hou,G-F,33.38,11,8.8,18.4,20.4,6.6,5,1,11,0.182,29,0.345,0.425,0.462,3.5,1.1,7,0.1,1.6,0.27,0.27,0.27,3.3,91.9,101.4
Giannis Antetokounmpo,Mil,F,24.52,15,34.3,71.4,32.2,13,168,0.637,207,0.536,55,0.327,0.527,0.57,25.5,12.3,18,4.9,25.1,1.13,2,3.33,13.5,111.5,94.9
Glenn Robinson III,Det,G-F,25.43,3,11.9,24.7,20.9,5.6,4,1,7,0.429,8,0.125,0.3,0.388,4.3,2.3,9.9,0.7,8.4,0.67,0,0.33,6.4,92,96.1
Gordon Hayward,Bos,F,29.23,9,29.6,61.7,15.3,16.1,19,1,46,0.435,24,0.375,0.479,0.549,9.6,4,6.9,2.4,13,0.67,0.33,1.67,6.1,103.8,106.6
Grayson Allen,Uta,G,23.68,2,7.1,14.7,30.4,0,7,0.714,4,0.5,3,0,0.286,0.446,4.5,0.5,3.7,0,0,0,0,0,0,99.8,113
Greg Monroe,Phi,C,29.03,10,9,18.7,22.6,8.3,9,0.778,36,0.417,4,0.25,0.413,0.455,4,3.1,18.7,0.4,6.9,0.5,0.4,0.4,7.6,103.6,97.3
Guerschon Yabusele,Bos,F,23.49,4,3.5,7.3,25.3,12.4,7,0.571,3,0.667,1,0,0.5,0.565,2,0.5,7.3,0.3,11.9,0,0.25,0.25,7.7,,
Iman Shumpert,Hou,G,28.97,8,13.7,28.5,12.3,9.8,4,0.25,4,0.5,22,0.364,0.538,0.522,3.6,1.5,6.2,0.3,2.7,0.13,0,0.38,3.4,99.1,106.9
Isaiah Hartenstein,Hou,F-C,21.11,2,1.2,2.4,38.2,0,0,0,2,1,0,0,1,1,2,0.5,24.5,0,0,0,0,0,0,,
